beat,brutality_count,crime_count,brutality_label
0,82,235,0
1,22,237,0
2,68,143,0
3,39,203,0
4,3,122,0
5,81,231,0
6,119,221,0
7,84,189,0
8,130,154,0
9,175,57,1
10,33,112,0
11,42,132,0
12,92,164,0
13,41,111,0
14,33,53,0
15,5,28,0
16,35,42,0
17,60,152,0
18,32,107,0
19,51,44,0
20,28,55,0
21,19,115,0
22,129,37,0
23,75,90,0
24,48,117,0
25,0,30,0
26,93,45,0
27,188,186,1
28,155,108,1
29,62,54,0
30,214,197,1
31,126,97,0
32,167,179,1
33,150,180,0
34,135,192,0
35,121,194,0
36,66,80,0
37,100,92,0
38,131,166,0
39,80,145,0
40,153,157,1
41,187,212,1
42,220,234,1
43,171,148,1
44,207,229,1
45,142,146,0
46,115,163,0
47,115,128,0
48,31,101,0
49,154,13,1
50,186,232,1
51,178,202,1
52,170,211,1
53,209,187,1
54,163,207,1
55,133,175,0
56,223,138,1
57,149,119,0
58,157,201,1
59,192,200,1
60,208,216,1
61,182,163,1
62,165,105,1
63,233,225,1
64,91,151,0
65,200,219,1
66,229,228,1
67,202,218,1
68,160,215,1
69,89,115,0
70,190,142,1
71,151,86,0
72,191,206,1
73,227,199,1
74,85,73,0
75,132,49,0
76,116,81,0
77,176,134,1
78,147,114,0
79,193,188,1
80,152,89,1
81,132,131,0
82,106,82,0
83,170,144,1
84,113,98,0
85,161,158,1
86,91,58,0
87,55,36,0
88,104,205,0
89,70,75,0
90,78,182,0
91,40,59,0
92,91,141,0
93,215,213,1
94,136,113,0
95,197,191,1
96,184,204,1
97,183,193,1
98,66,174,0
99,94,171,0
100,148,195,0
101,79,24,0
102,89,110,0
103,102,91,0
104,111,111,0
105,150,97,0
106,58,34,0
107,81,104,0
108,26,65,0
109,134,133,0
110,112,38,0
111,104,56,0
112,145,76,0
113,133,40,0
114,185,46,1
115,143,38,0
116,222,230,1
117,194,123,1
118,96,173,0
119,180,150,1
120,198,159,1
121,177,196,1
122,90,66,0
123,204,165,1
124,86,135,0
125,83,21,0
126,109,87,0
127,122,109,0
128,206,124,1
129,231,233,1
130,201,167,1
131,162,68,1
132,211,127,1
133,218,220,1
134,225,217,1
135,195,168,1
136,182,100,1
137,103,4,0
138,166,208,1
139,217,224,1
140,219,222,1
141,232,209,1
142,213,183,1
143,138,71,0
144,107,50,0
145,144,69,0
146,4,162,0
147,11,83,0
148,7,84,0
149,95,92,0
150,67,156,0
151,56,155,0
152,14,95,0
153,158,96,1
154,44,169,0
155,81,137,0
156,8,64,0
157,2,39,0
158,36,51,0
159,76,79,0
160,39,25,0
161,117,50,0
162,96,35,0
163,123,88,0
164,132,47,0
165,140,185,0
166,49,20,0
167,24,103,0
168,57,92,0
169,98,99,0
170,181,114,1
171,159,78,1
172,221,86,1
173,230,214,1
174,199,130,1
175,203,160,1
176,224,170,1
177,216,162,1
178,228,226,1
179,15,15,0
180,18,7,0
181,11,12,0
182,17,14,0
183,6,3,0
184,72,125,0
185,113,120,0
186,74,71,0
187,29,19,0
188,30,27,0
189,120,126,0
190,87,58,0
191,27,18,0
192,2,0,0
193,9,2,0
194,3,5,0
195,1,1,0
196,41,63,0
197,71,147,0
198,69,33,0
199,101,99,0
200,174,190,1
201,64,68,0
202,65,77,0
203,34,106,0
204,46,61,0
205,25,54,0
206,77,94,0
207,13,17,0
208,50,129,0
209,156,210,1
210,210,186,1
211,137,10,0
212,226,184,1
213,212,236,1
214,169,161,1
215,105,227,0
216,164,238,1
217,37,72,0
218,28,41,0
219,118,64,0
220,38,118,0
221,12,43,0
222,13,22,0
223,23,70,0
224,173,102,1
225,196,178,1
226,27,136,0
227,41,50,0
228,63,48,0
229,73,93,0
230,11,136,0
231,16,146,0
232,110,121,0
233,29,23,0
234,45,26,0
235,59,8,0
236,54,32,0
237,128,22,0
238,21,16,0
239,10,6,0
240,52,11,0
241,47,74,0
242,99,149,0
243,40,67,0
244,91,116,0
245,141,140,0
246,114,172,0
247,92,128,0
248,61,122,0
249,115,176,0
250,53,139,0
251,88,85,0
252,124,179,0
253,205,198,1
254,98,29,0
255,121,62,0
256,127,9,0
257,189,82,1
258,146,117,0
259,43,31,0
260,108,181,0
261,20,11,0
262,102,100,0
263,221,160,1
264,139,157,0
265,125,52,0
266,93,63,0
267,97,25,0
268,126,21,0
269,172,60,1
270,200,153,1
271,214,223,1
272,179,177,1
273,168,113,1